,date,protocol,chain,usd_value,net_dollar_flow,rank_desc,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
52999,2022-11-07,pnetwork,Doge,0.0,-64968.32586,1,-33305.03846851465,-1,33305.03846851465,-64968.32586,-1,64968.32586,-65819.22682307997,-1,65819.22682307997,-33467.54524706474,-1,33467.54524706474,-33305.03846851465,-1,33305.03846851465,-33305.03846851465,-1,33305.03846851465,-33305.03846851465,-1,33305.03846851465,-inf
53000,2022-11-07,pnetwork,EOS,0.0,-346529.20835,1,-1011008.9786532635,-1,1011008.9786532635,-346529.20835,-1,346529.20835,-427759.35514615756,-1,427759.35514615756,-449317.544530111,-1,449317.544530111,-1011008.9786532635,-1,1011008.9786532635,-1011008.9786532635,-1,1011008.9786532635,-1011008.9786532635,-1,1011008.9786532635,-inf
53001,2022-11-07,pnetwork,Ethereum,0.0,-31025667.44802,1,-40254732.53738739,-1,40254732.53738739,-31025667.44802,-1,31025667.44802,-33198034.99174468,-1,33198034.99174468,-33231357.16442641,-1,33231357.16442641,-40254732.53738739,-1,40254732.53738739,-40254732.53738739,-1,40254732.53738739,-40254732.53738739,-1,40254732.53738739,-inf
53002,2022-11-07,pnetwork,Fantom,0.0,-0.63435,1,-0.962640390822854,-1,0.962640390822854,-0.63435,-1,0.63435,-0.5606625303536358,-1,0.5606625303536358,-0.6405074285115784,-1,0.6405074285115784,-0.962640390822854,-1,0.962640390822854,-0.962640390822854,-1,0.962640390822854,-0.962640390822854,-1,0.962640390822854,-inf
53003,2022-11-07,pnetwork,LBRY,0.0,-25836.35655,1,-27453.812644783255,-1,27453.812644783255,-25836.35655,-1,25836.35655,-25257.82733580311,-1,25257.82733580311,-32854.94442360101,-1,32854.94442360101,-27453.812644783255,-1,27453.812644783255,-27453.812644783255,-1,27453.812644783255,-27453.812644783255,-1,27453.812644783255,-inf
53004,2022-11-07,pnetwork,Litecoin,0.0,-415394.0419,1,-350949.23988900124,-1,350949.23988900124,-415394.0419,-1,415394.0419,-328385.3543640449,-1,328385.3543640449,-318319.9787129263,-1,318319.9787129263,-350949.23988900124,-1,350949.23988900124,-350949.23988900124,-1,350949.23988900124,-350949.23988900124,-1,350949.23988900124,-inf
53005,2022-11-07,pnetwork,ORE,0.0,-2814023.18467,1,-1144451.0359879294,-1,1144451.0359879294,-2814023.18467,-1,2814023.18467,-2190522.275964774,-1,2190522.275964774,-1571714.9988789232,-1,1571714.9988789232,-1144451.0359879294,-1,1144451.0359879294,-1144451.0359879294,-1,1144451.0359879294,-1144451.0359879294,-1,1144451.0359879294,-inf
53006,2022-11-07,pnetwork,Ravencoin,0.0,-1256.47078,1,-2675.0087583379145,-1,2675.0087583379145,-1256.47078,-1,1256.47078,-1259.2034702912547,-1,1259.2034702912547,-1458.2421935724226,-1,1458.2421935724226,-2675.0087583379145,-1,2675.0087583379145,-2675.0087583379145,-1,2675.0087583379145,-2675.0087583379145,-1,2675.0087583379145,-inf
53007,2022-11-07,pnetwork,Telos,0.0,-7530942.40593,1,-7657063.249740108,-1,7657063.249740108,-7530942.40593,-1,7530942.40593,-6318510.082168693,-1,6318510.082168693,-7294126.381148658,-1,7294126.381148658,-7657063.249740108,-1,7657063.249740108,-7657063.249740108,-1,7657063.249740108,-7657063.249740108,-1,7657063.249740108,-inf
52998,2022-11-07,pnetwork,Bitcoin,0.0,-4578632.28182,1,-5568855.878327217,-1,5568855.878327217,-4578632.28182,-1,4578632.28182,-4408540.318091299,-1,4408540.318091299,-4646714.2645636145,-1,4646714.2645636145,-5568855.878327217,-1,5568855.878327217,-5568855.878327217,-1,5568855.878327217,-5568855.878327217,-1,5568855.878327217,-inf
