,date,protocol,chain,usd_value,name,category,parent_protocol,net_dollar_flow,net_dollar_flow_latest_price,rank_desc,mark_at_latest_price,cumul_net_dollar_flow,flow_direction,abs_cumul_net_dollar_flow,cumul_net_dollar_flow_1d,daily_avg_tvl_1d,flow_direction_1d,abs_cumul_net_dollar_flow_1d,cumul_net_dollar_flow_7d,daily_avg_tvl_7d,flow_direction_7d,abs_cumul_net_dollar_flow_7d,cumul_net_dollar_flow_30d,daily_avg_tvl_30d,flow_direction_30d,abs_cumul_net_dollar_flow_30d,cumul_net_dollar_flow_90d,daily_avg_tvl_90d,flow_direction_90d,abs_cumul_net_dollar_flow_90d,cumul_net_dollar_flow_180d,daily_avg_tvl_180d,flow_direction_180d,abs_cumul_net_dollar_flow_180d,cumul_net_dollar_flow_365d,daily_avg_tvl_365d,flow_direction_365d,abs_cumul_net_dollar_flow_365d,pct_of_tvl
473871,2023-02-23 00:00:00,aavegotchi,Ethereum,0.0,Aavegotchi,Gaming,Aavegotchi,-3468166.082856113,-3468166.082856113,1,1,-5009471.947083386,-1,5009471.947083386,-3468166.082856113,0.0,-1,3468166.082856113,-3319459.745049344,2866503.170674286,-1,3319459.745049344,-3296124.101273755,2756091.5865243333,-1,3296124.101273755,-3229651.812496275,2617622.0490946667,-1,3229651.812496275,-3433086.8223742116,2753667.376055833,-1,3433086.8223742116,-5009471.947083386,3825501.288959282,-1,5009471.947083386,-inf
480019,2023-02-26 00:00:00,nervebridge,Tron,0.0,NerveBridge,Bridge,NerveBridge,-13693.98426999097,-13693.98426999097,1,1,-14207.46189999097,-1,14207.46189999097,-13693.98426999097,0.0,-1,13693.98426999097,-14207.46189999097,9300.282586666666,-1,14207.46189999097,-14207.46189999097,9300.282586666666,-1,14207.46189999097,-14207.46189999097,9300.282586666666,-1,14207.46189999097,-14207.46189999097,9300.282586666666,-1,14207.46189999097,-14207.46189999097,9300.282586666666,-1,14207.46189999097,-inf
480018,2023-02-26 00:00:00,nervebridge,Nuls,0.0,NerveBridge,Bridge,NerveBridge,-5793481.605689999,-5793481.605689999,1,1,-5793481.605689999,-1,5793481.605689999,-5793481.605689999,0.0,-1,5793481.605689999,-5793481.605689999,2896740.802845,-1,5793481.605689999,-5793481.605689999,2896740.802845,-1,5793481.605689999,-5793481.605689999,2896740.802845,-1,5793481.605689999,-5793481.605689999,2896740.802845,-1,5793481.605689999,-5793481.605689999,2896740.802845,-1,5793481.605689999,-inf
480807,2023-02-26 04:56:53,nervebridge,Kava,0.0,NerveBridge,Bridge,NerveBridge,-0.00964,-0.00964,1,1,-0.00964,-1,0.00964,-0.00964,0.0,-1,0.00964,-0.00964,0.006036,-1,0.00964,-0.00964,0.006036,-1,0.00964,-0.00964,0.006036,-1,0.00964,-0.00964,0.006036,-1,0.00964,-0.00964,0.006036,-1,0.00964,-inf
480812,2023-02-26 04:56:53,nervebridge,smartBCH,0.0,NerveBridge,Bridge,NerveBridge,-3768.74594,-3768.74594,1,1,-3768.7762701019515,-1,3768.7762701019515,-3768.74594,0.0,-1,3768.74594,-3768.7762701019515,2388.1946639999996,-1,3768.7762701019515,-3768.7762701019515,2388.1946639999996,-1,3768.7762701019515,-3768.7762701019515,2388.1946639999996,-1,3768.7762701019515,-3768.7762701019515,2388.1946639999996,-1,3768.7762701019515,-3768.7762701019515,2388.1946639999996,-1,3768.7762701019515,-inf
480811,2023-02-26 04:56:53,nervebridge,Polygon,0.0,NerveBridge,Bridge,NerveBridge,-45463.49900999999,-45463.49900999999,1,1,-45626.152341187524,-1,45626.152341187524,-45463.49900999999,0.0,-1,45463.49900999999,-45626.152341187524,27631.109264,-1,45626.152341187524,-45626.152341187524,27631.109264,-1,45626.152341187524,-45626.152341187524,27631.109264,-1,45626.152341187524,-45626.152341187524,27631.109264,-1,45626.152341187524,-45626.152341187524,27631.109264,-1,45626.152341187524,-inf
480810,2023-02-26 04:56:53,nervebridge,OKExChain,0.0,NerveBridge,Bridge,NerveBridge,-111740.40331000002,-111740.40331000002,1,1,-112448.42159069,-1,112448.42159069,-111740.40331000002,0.0,-1,111740.40331000002,-112448.42159069,67133.433942,-1,112448.42159069,-112448.42159069,67133.433942,-1,112448.42159069,-112448.42159069,67133.433942,-1,112448.42159069,-112448.42159069,67133.433942,-1,112448.42159069,-112448.42159069,67133.433942,-1,112448.42159069,-inf
480809,2023-02-26 04:56:53,nervebridge,Kucoin,0.0,NerveBridge,Bridge,NerveBridge,-4935.17979,-4935.17979,1,1,-4926.458206164906,-1,4926.458206164906,-4935.17979,0.0,-1,4935.17979,-4926.458206164906,3032.077612,-1,4926.458206164906,-4926.458206164906,3032.077612,-1,4926.458206164906,-4926.458206164906,3032.077612,-1,4926.458206164906,-4926.458206164906,3032.077612,-1,4926.458206164906,-4926.458206164906,3032.077612,-1,4926.458206164906,-inf
480808,2023-02-26 04:56:53,nervebridge,Klaytn,0.0,NerveBridge,Bridge,NerveBridge,-0.13439,-0.13439,1,1,-0.13439,-1,0.13439,-0.13439,0.0,-1,0.13439,-0.13439,0.090544,-1,0.13439,-0.13439,0.090544,-1,0.13439,-0.13439,0.090544,-1,0.13439,-0.13439,0.090544,-1,0.13439,-0.13439,0.090544,-1,0.13439,-inf
480806,2023-02-26 04:56:53,nervebridge,IoTeX,0.0,NerveBridge,Bridge,NerveBridge,-33.44148,-33.44148,1,1,-33.44148,-1,33.44148,-33.44148,0.0,-1,33.44148,-33.44148,21.895144,-1,33.44148,-33.44148,21.895144,-1,33.44148,-33.44148,21.895144,-1,33.44148,-33.44148,21.895144,-1,33.44148,-33.44148,21.895144,-1,33.44148,-inf
